"stateid","state","level","control","counted_pct","awards_per_state_value","awards_per_natl_value","exp_award_state_value","exp_award_natl_value","state_appr_value"
"29","Missouri","4-year","Private not-for-profit","48.8","24.5","22.6","76132","95725","166.95"
"29","Missouri","4-year","Private for-profit","50.2","30.8","19.0","27397","42645","166.95"
"29","Missouri","2-year","Public","55.5","15.2","14.2","24217","42759","166.95"
"29","Missouri","2-year","Private not-for-profit","46.5","27.0","25.0","50746","42217","166.95"
"29","Missouri","2-year","Private for-profit","96.6","29.7","26.3","11776","19798","166.95"
"30","Montana","4-year","Public","69.5","18.7","20.5","66304","68617","211.45"
"30","Montana","4-year","Private not-for-profit","71.0","19.4","22.6","95780","95725","211.45"
"30","Montana","4-year","Private for-profit","","","19.0","","42645","211.45"
"30","Montana","2-year","Public","54.2","19.3","14.2","48980","42759","211.45"
"30","Montana","2-year","Private not-for-profit","24.6","18.1","25.0","92237","42217","211.45"
"30","Montana","2-year","Private for-profit","","","26.3","","19798","211.45"
"31","Nebraska","4-year","Public","67.6","18.5","20.5","60931","68617","357.31"
"31","Nebraska","4-year","Private not-for-profit","73.0","24.8","22.6","65376","95725","357.31"
"31","Nebraska","4-year","Private for-profit","95.8","25.1","19.0","36871","42645","357.31"
"31","Nebraska","2-year","Public","30.9","15.6","14.2","46688","42759","357.31"
"31","Nebraska","2-year","Private not-for-profit","56.8","9.5","25.0","164242","42217","357.31"
"31","Nebraska","2-year","Private for-profit","100.0","25.5","26.3","21209","19798","357.31"
"32","Nevada","4-year","Public","32.8","14.4","20.5","82079","68617","203.44"
"32","Nevada","4-year","Private not-for-profit","49.6","14.2","22.6","65206","95725","203.44"
"32","Nevada","4-year","Private for-profit","77.1","19.0","19.0","48760","42645","203.44"
"32","Nevada","2-year","Public","19.7","11.1","14.2","61553","42759","203.44"
"32","Nevada","2-year","Private not-for-profit","","","25.0","","42217","203.44"
"32","Nevada","2-year","Private for-profit","68.7","15.2","26.3","26694","19798","203.44"
"33","New Hampshire","4-year","Public","77.1","21.9","20.5","60105","68617","107.74"
"33","New Hampshire","4-year","Private not-for-profit","92.3","24.5","22.6","113322","95725","107.74"
"33","New Hampshire","4-year","Private for-profit","55.0","25.7","19.0","22248","42645","107.74"
"33","New Hampshire","2-year","Public","31.2","19.0","14.2","45697","42759","107.74"
"33","New Hampshire","2-year","Private not-for-profit","27.4","29.5","25.0","24145","42217","107.74"
"33","New Hampshire","2-year","Private for-profit","","","26.3","","19798","107.74"
"34","New Jersey","4-year","Public","57.4","20.9","20.5","76896","68617","233.01"
"34","New Jersey","4-year","Private not-for-profit","59.3","21.8","22.6","104861","95725","233.01"
"34","New Jersey","4-year","Private for-profit","73.0","19.6","19.0","80913","42645","233.01"
"34","New Jersey","2-year","Public","51.9","14.1","14.2","54490","42759","233.01"
"34","New Jersey","2-year","Private not-for-profit","","","25.0","","42217","233.01"
"34","New Jersey","2-year","Private for-profit","44.6","34.9","26.3","18989","19798","233.01"
"35","New Mexico","4-year","Public","66.2","18.2","20.5","77326","68617","429.17"
"35","New Mexico","4-year","Private not-for-profit","68.8","20.0","22.6","89468","95725","429.17"
"35","New Mexico","4-year","Private for-profit","75.4","22.1","19.0","35254","42645","429.17"
"35","New Mexico","2-year","Public","37.9","14.3","14.2","50457","42759","429.17"
"35","New Mexico","2-year","Private not-for-profit","","","25.0","","42217","429.17"
"35","New Mexico","2-year","Private for-profit","","9.0","26.3","13209","19798","429.17"
"36","New York","4-year","Public","57.4","21.2","20.5","76043","68617","259.46"
