CLOSED DATE,OPEID,SCHOOL NAME                                                        ,LOCATION                                                       ,ADDRESS                                                       ,CITY          ,STATE,ZIP CODE,COUNTRY (FOREIGN)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12/31/1988,1163601,PHILLIPS JUNIOR COLLEGE,BRANCH CAMPUS                    FORMERLY:  825 15TH ST_NW,1015 14TH ST NW,WASHINGTON,DC,20005,
12/31/1988,2523200,STEVENS INSTITUTE,STEVENS INSTITUTE,1523 CANDLETREE DRIVE,PEORIA,IL,61614,
12/31/1988,2574200,PROGRAMS FOR HUMAN SERVICES,PROGRAMS FOR HUMAN SERVICES,4675 WASHINGTON BLVD STE B,BEAUMONT,TX,77707,
12/31/1989,648500,AKRON CITY HOSPITAL IDABELLE FIRESTONE SCHOOL OF NURSE,AKRON CITY HOSPITAL IDABELLE FIRESTONE SCHOOL OF NURSE,41 ARCH STREET,AKRON,OH,44304,
12/31/1989,1113500,SAWYER COLLEGE,SAWYER COLLEGE,130 N MARION ST,OAK PARK,IL,60301,
12/31/1989,1114800,NATIONAL EDUCATION CTR BRYMAN CAMPUS,NATIONAL EDUCATION CTR BRYMAN CAMPUS,9215 N BLACK CANYON HWY,PHOENIX,AZ,85021,
12/31/1989,1121909,COLUMBIA SCHOOL OF BROADCASTING HOME STUDY,COLUMBIA SCHOOL OF BROADCASTING,6505 PARAMOUNT STREET,LONG BEACH,CA,0,
12/31/1989,1195303,PACIFIC COAST TECHL INST,CLASSROOM FACILITY,1740 ORANGETHORPE PARK,ANAHEIM,CA,92801,
12/31/1989,2202103,CULINARY SCHOOL OF WASHINGTON,AUXILIARY CLASSROOM              EFFECTIVE 04-29-88,1708 L ST NE,WASHINGTON,DC,20036,
12/31/1989,2202112,CULINARY SCHOOL OF WASHINGTON,BLUE PLAINS SEWAGE TREATMENT PLANT,5000 OVERLOOK DRIVE,WASHINGTON,DC,20032,
12/31/1989,2202114,CULINARY SCHOOL OF WASHINGTON,CHEF'S RESTAURANT,3251 PROSPECT STREET NW,WASHINGTON,DC,0,
12/31/1989,2205100,HOLLYWOOD COLLEGE OF BEAUTY CULTURE,HOLLYWOOD COLLEGE OF BEAUTY CULTURE,301 BROADWAY SUITE 200,RIVIERA BEACH,FL,33404,
12/31/1989,2237302,INTERNATIONAL DEALERS SCHOOL,INTERNATIONAL DEALERS SCHOOL,15623 BROOKHURST STREET,WESTMINSTER,CA,92683,
12/31/1989,2274901,VIRGINIA SCHOOLS,BRAMCH CAMPUS LOCATION,1101 WESTBANK FWY,GRETANA,LA,70053,
12/31/1989,2274903,VIRGINIA SCHOOLS,BRANCH CAMPUS LOCATION,8025 NW 36TH ST,MIAMI,FL,33166,
